1629
3	-0	0.000340194
3	-1	0.00102058
3	-2	0.000510291
3	-3	0.000340194
3	-5	0.000510291
3	-6	0.000340194
3	-7	0.000170097
3	-9	0.000340194
3	.0	0.00255145
3	.1	0.0251743
3	.2	0.029767
3	.3	0.0278959
3	.4	0.0268753
3	.5	0.0290866
3	.6	0.0270454
3	.7	0.0260248
3	.8	0.0275557
3	.9	0.0251743
3	/3	0.000170097
3	/4	0.000170097
3	0.	0.000170097
3	00	0.0998469
3	01	0.00697398
3	02	0.0056132
3	03	0.00442252
3	04	0.00442252
3	05	0.00680388
3	06	0.00510291
3	07	0.00459262
3	08	0.00748427
3	09	0.00595339
3	0s	0.00170097
3	10	0.00731417
3	11	0.00663378
3	12	0.0057833
3	13	0.00612349
3	14	0.00595339
3	15	0.00782446
3	16	0.0056132
3	17	0.0056132
3	18	0.00374213
3	19	0.00527301
3	20	0.00884504
3	21	0.00425242
3	22	0.00459262
3	23	0.00663378
3	24	0.00510291
3	25	0.0321483
3	26	0.0057833
3	27	0.00493281
3	28	0.00493281
3	29	0.0056132
3	30	0.0100357
3	31	0.00527301
3	32	0.0137779
3	33	0.00527301
3	34	0.00408233
3	35	0.00782446
3	36	0.00527301
3	37	0.00442252
3	38	0.00663378
3	39	0.00459262
3	3d	0.000170097
3	40	0.00748427
3	41	0.00442252
3	42	0.00646368
3	43	0.00731417
3	44	0.00527301
3	45	0.00884504
3	46	0.00595339
3	47	0.00323184
3	48	0.00629359
3	49	0.00493281
3	50	0.0187107
3	51	0.0054431
3	52	0.00442252
3	53	0.00731417
3	54	0.00408233
3	55	0.00680388
3	56	0.00663378
3	57	0.00510291
3	58	0.00459262
3	59	0.00391223
3	60	0.00731417
3	61	0.00510291
3	62	0.0056132
3	63	0.00510291
3	64	0.00459262
3	65	0.00867494
3	66	0.00663378
3	67	0.00357204
3	68	0.00714407
3	69	0.00340194
3	70	0.00816465
3	71	0.00374213
3	72	0.00595339
3	73	0.00408233
3	74	0.0054431
3	75	0.0307875
3	76	0.00612349
3	77	0.00476271
3	78	0.00629359
3	79	0.00425242
3	80	0.0108862
3	81	0.00493281
3	82	0.00493281
3	83	0.00374213
3	84	0.00425242
3	85	0.00901514
3	86	0.00629359
3	87	0.00595339
3	88	0.00765436
3	89	0.00459262
3	90	0.00986562
3	91	0.00408233
3	92	0.00425242
3	93	0.00408233
3	94	0.00459262
3	95	0.00867494
3	96	0.00374213
3	97	0.00442252
3	98	0.00306175
3	99	0.00595339
3	:1	0.000170097
3	ck	0.000170097
3	ed	0.000510291
3	ee	0.000170097
3	en	0.00102058
3	hs	0.000170097
3	ld	0.000340194
3	le	0.000170097
3	mm	0.000510291
3	nd	0.000170097
3	ne	0.000170097
3	nt	0.000170097
3	on	0.000170097
3	rd	0.000170097
3	re	0.000170097
3	st	0.000170097
3	ty	0.00136078
3	ur	0.000340194
3	us	0.000170097
